300,PT01,Kostenrechnungskreis PT01,EUR,CAPT,K4,2,,,,PT01,,,,S001,,,,,,,,,,,,,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,RECO,Sondereigentum (WEG),EUR,INT,K4,1,,,,RECO,,,,S001,RECO-DUMMY,P0001,T,,,PRECO_HIER,,0000400000,,,20,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,REOB,RE Objektmandate,EUR,INT,K4,2,,,,REOB,,,,S001,,P0001,T,,,PREOB_HIER,,0000400000,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,RERF,WEG Kostenrechnungskreis,EUR,WEG,K4,2,,,,0001,,,,,SAP_DUMMY,P0001,,,,,,,,,20,,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,RU01,Kostenrechnungskreis RU01,RUB,CARU,K4,2,,,,RU01,,,,S001,SAP-DUMMY,PRU01,,,,,,,,,20,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,SE01,Kostenrechnungskreis SE01,SEK,CASE,K4,2,,,,SE01,,,,S001,SAP-DUMMY,PSE01,,,,,,,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,SG01,Kostenrechnungskreis 0001,SGD,INT,K4,2,,,,SG01,,,,S001,,P0001,T,,,PSG01_HIER,,0000400000,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,SK01,Kostenrechnungskreis SK01,EUR,CASK,K4,2,,,,SK01,,,,S001,SAP-DUMMY,PSK01,,,,,,,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,SLE0,BKMG,EUR,BKMG,K4,2,,,,,,,,,,PSK01,,,X,,,,,,,,30,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,TR01,Kostenrechnungskreis TR01,TRY,CATR,K4,2,,,,TR01,,,,S001,SAP-DUMMY,PTR01,,,,,,,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,TW01,Kostenrechnungskreis TW01,TWD,CATW,K4,2,,,,TW01,,,,S001,SAP-DUMMY,PTW01,,,,,,,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,UA01,Kostenrechnungskreis UA01,UAH,CAUA,K4,2,,,,UA01,,,,S001,SAP-DUMMY,PUA01,,,,,,,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
300,US01,Kostenrechnungskreis US01,USD,CANA,K4,2,,,,US01,,,,S001,,PUS01,,,,,,,,,30,X,10,,,,,,0,,,,,0,,,,,,,,,,,,,,
