NODE_NAME, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN, PLATFORM_CODE, DESCRIPTION, BASEPATH, SUPPORT_CP, SUPPORT_FORMS, SUPPORT_WEB, SUPPORT_ADMIN, STATUS, PING_RESPONSE, LAST_MONITORED_TIME, NODE_MODE, NODE_ID, SERVER_ID, SERVER_ADDRESS, HOST, DOMAIN, WEBHOST, VIRTUAL_IP, SUPPORT_DB, APPLTOP_ID
AUTHENTICATION,29.06.20,1,29.06.20,1,0,226,Authentication Value,,N,N,N,N,,,22.08.20,O,8122,SECURE,*,,,,,N,
ACWA-APPS02,29.06.20,1,29.06.20,1,0,226,,,N,N,N,N,Y,,22.08.20,O,8120,,,acwa-apps02,acwapower.com,,acwa-apps02,Y,
ACWA-APPS01,06.07.20,1,29.06.20,1,0,226,,,Y,Y,Y,Y,Y,,22.08.20,O,8121,A93E8F8338D2C6CCE050650AA732667A31464675712208048378413173931944,10.101.50.166,acwa-apps01,acwapower.com,acwa-apps01.acwapower.com,,N,
