 ROW_ID, APPLICATION_ID, APPLICATION_SHORT_NAME, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN, BASEPATH, APPLICATION_NAME, DESCRIPTION, PRODUCT_CODE
AAA/cZAGXAAAFzdAAh,709,EDR,29.08.05,120,01.01.80,1,0,EDR_TOP,E-Records,,EDR
AAA/cZAGXAAAFzdAAi,694,PRP,29.08.05,120,01.01.80,1,0,PRP_TOP,Proposals,,PRP
AAA/cZAGXAAAFzeAAA,20023,XXE4A,24.09.18,0,24.09.18,0,12463246,XXE4A_TOP,Excel4apps,,XXE4A
AAA/cZAGXAAAFzeAAB,20024,XXE4ARW,24.09.18,0,24.09.18,0,12463246,XXE4ARW_TOP,Excel4apps Reports Wand,,XXE4ARW
AAA/cZAGXAAAFzfAAA,242,AMW,29.08.05,120,01.01.80,1,0,AMW_TOP,Internal Controls Manager,,AMW
AAA/cZAGXAAAFzfAAB,204,XLE,29.08.05,120,01.01.80,1,0,XLE_TOP,Legal Entity Configurator,,XLE
AAA/cZAGXAAAFzfAAC,280,ASN,29.08.05,120,01.01.80,1,0,ASN_TOP,Sales,,ASN
AAA/cZAGXAAAFzfAAD,390,MST,29.08.05,120,01.01.80,1,0,MST_TOP,Transportation Planning,,MST
AAA/cZAGXAAAFzfAAE,435,FUN,29.08.05,120,01.01.80,1,0,FUN_TOP,Financials Common Modules,,FUN
AAA/cZAGXAAAFzfAAF,266,GCS,29.08.05,120,01.01.80,1,0,GCS_TOP,Financial Consolidation Hub,,GCS
AAA/cZAGXAAAFzfAAG,603,XDO,29.08.05,120,01.01.80,1,0,XDO_TOP,XML Publisher,,XDO
AAA/cZAGXAAAFzfAAH,235,ZX,29.08.05,120,01.01.80,1,0,ZX_TOP,E-Business Tax,,ZX
AAA/cZAGXAAAFzfAAI,206,LNS,29.08.05,120,01.01.80,1,0,LNS_TOP,Loans,,LNS
AAA/cZAGXAAAFzfAAJ,205,IA,29.08.05,120,01.01.80,1,0,IA_TOP,iAssets,,IA
AAA/cZAGXAAAFzfAAK,440,FPA,29.08.05,120,01.01.80,1,0,FPA_TOP,Project Portfolio Analysis,,FPA
AAA/cZAGXAAAFzfAAL,210,ZPB,29.08.05,120,01.01.80,1,0,ZPB_TOP,Enterprise Planning and Budgeting,,ZPB
AAA/cZAGXAAAFzgAAA,9000,DPP,12.10.07,121,01.01.80,1,0,DPP_TOP,Oracle Price Protection,Oracle Price Protection,
AAA/cZAGXAAAFzgAAB,9001,MTH,14.04.08,121,01.01.80,1,0,MTH_TOP,Oracle Manufacturing Operations Center,Oracle Manufacturing Operations Center,
AAA/cZAGXAAAFzgAAC,667,QPR,10.10.07,121,01.01.80,1,0,QPR_TOP,Oracle Deal Management,Oracle Deal Management,
AAA/cZAGXAAAFzgAAD,9003,DDR,01.02.08,121,01.01.80,1,0,DDR_TOP,Demand Signal Repository,Demand Signal Repository,
AAA/cZAGXAAAFzgAAE,9004,INL,09.04.08,121,01.01.80,1,0,INL_TOP,Oracle Landed Cost Management,Oracle Landed Cost Management,
AAA/cZAGXAAAFzhAAA,20003,XXXHRCUSTOM,10.05.15,0,10.05.15,0,53674,XXXHRCUSTOM_TOP,HR Custom Application,,XXXHRCUSTOM
AAA/cZAGXAAAFziAAA,278,IZU,09.09.08,121,01.01.80,1,0,IZU_TOP,Oracle E-Business Suite Diagnostics,Oracle E-Business Suite Diagnostics,
AAA/cZAGXAAAFzjAAA,778,JMF,29.08.05,120,01.01.80,1,0,JMF_TOP,Supply Chain Localizations,Supply Chain Localizations,JMF
AAA/cZAGXAAAFzjAAB,438,ITA,29.08.05,120,01.01.80,1,0,ITA_TOP,Information Technology Audit,Information Technology Audit,ITA
AAA/cZAGXAAAFzjAAC,821,IRC,29.08.05,120,01.01.80,1,0,IRC_TOP,iRecruitment,iRecruitment,IRC
AAA/cZAGXAAAFzjAAD,560,GMO,19.10.06,120,01.01.80,1,0,GMO_TOP,Manufacturing Execution System for Process Manufacturing,Manufacturing Execution System for Process Manufacturing,
AAA/cZAGXAAAFzjAAE,207,IPM,19.07.06,120,01.01.80,1,0,IPM_TOP,Oracle Imaging Process Management,Oracle Imaging Process Management,
AAA/cZAGXAAAFzjAAF,666,IBW,29.08.05,120,01.01.80,1,0,IBW_TOP,Oracle Web Analytics,Oracle Web Analytics,IBW
AAA/cZAGXAAAFzlAAA,407,WMA,29.08.05,120,28.09.04,2,0,WMA_TOP,Manufacturing Mobile Applications,,WMA
AAA/cZAGXAAAFzlAAB,415,ISX,29.08.05,120,28.09.04,2,0,ISX_TOP,iSettlement,,ISX
AAA/cZAGXAAAFzlAAC,860,MIV,29.08.05,120,28.09.04,2,0,MIV_TOP,Media Interactive,,MIV
AAA/cZAGXAAAFzlAAD,99,OAM,29.08.05,120,28.09.04,2,0,OAM_TOP,Oracle Applications Manager,Systems Management tool for Oracle Applications,OAM
AAA/cZAGXAAAFzlAAE,678,BIE,29.08.05,120,28.09.04,2,0,BIE_TOP,eCommerce Intelligence,,BIE
