ROW_ID, MENU_ID, MENU_NAME, TYPE, LAST_UPDATE_DATE, LAST_UPDATED_BY, LAST_UPDATE_LOGIN, CREATION_DATE, CREATED_BY, USER_MENU_NAME, DESCRIPTION
AAA/JXAGXAAAUfjABF,78311,FII_PL_LOB_GM,STANDARD,25.05.05,120,0,06.01.04,2,FII_PL_LOB_GM,Profit and Loss by LOB Page Gross Margin Rack
AAA/JXAGXAAAUfjABG,78312,FII_PL_LOB_EXP,STANDARD,25.05.05,120,0,06.01.04,2,FII_PL_LOB_EXP,Profit and Loss by LOB Page Expenses Rack
AAA/JXAGXAAAUfjABH,78314,FII_PL_LOB_OM,STANDARD,25.05.05,120,0,06.01.04,2,FII_PL_LOB_OM,Profit and Loss by LOB Page Operating Margin Rack
AAA/JXAGXAAAUfjABI,78315,FII_PL_LOB,STANDARD,25.05.05,120,0,06.01.04,2,FII_PL_LOB,Profit and Loss by LOB Page
AAA/JXAGXAAAUfjABJ,78317,FII_AP_PAY_STAT_KPI_PORTLET,,14.11.08,121,0,03.08.04,2,Payables Status KPI List,Payables Status KPIs - menu
AAA/JXAGXAAAUfjABK,78318,FII_AP_PAY_STATUS_DRILL,,14.11.08,121,0,23.06.03,2,Payables Status Drilldowns,Payables Status Drilldowns
AAA/JXAGXAAAUfjABL,78319,HRI_DBI_MANAGEMENT_PAGES,STANDARD,21.10.05,120,0,06.01.04,2,HR Management Pages,HR Management Pages - shared menu only shared pages should be granted on here!
AAA/JXAGXAAAUfjABM,78320,HRI_P_MANAGEMENT_TRENDS_REPORT,,14.11.08,121,0,06.01.04,2,HR Management - Overview Reports,
AAA/JXAGXAAAUfjABN,78321,FII_AP_PAY_STATUS_MENU,,14.11.08,121,0,23.06.03,2,Payables Status,Payables Status top menu
AAA/JXAGXAAAUfjABO,78322,FII_AP_PAY_INFO,,14.11.08,121,0,16.06.03,2,Payables Information,Payables Information top menu
